Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
295	0.378630	0.572594	2.165881	2.011020	0.321053	0.057090
297	0.398961	0.591412	2.167700	2.023519	0.319714	0.034964
298	0.400454	0.586907	2.168476	2.020934	0.303838	0.038316
299	0.388560	0.605149	2.188184	2.031745	0.316796	0.051319
300	0.386625	0.611394	2.186081	2.046085	0.305665	0.045880
303	0.377102	0.610659	2.181107	2.066190	0.321171	0.051452
305	0.374583	0.620105	2.190577	2.051425	0.321634	0.030673
306	0.387380	0.639792	2.193510	2.063291	0.332747	0.040618
308	0.372538	0.618673	2.202498	2.071366	0.321556	0.025317
309	0.359935	0.636339	2.208015	2.053233	0.300764	0.024562
317	0.349286	0.658207	2.220279	2.046124	0.288157	0.040476
318	0.330521	0.678815	2.211448	2.058808	0.277636	0.065115
319	0.310534	0.692632	2.218209	2.060599	0.257468	0.080691
321	0.323642	0.688561	2.204585	2.076786	0.237307	0.071917
322	0.327695	0.703724	2.205966	2.070493	0.218208	0.061665
323	0.303785	0.696421	2.222972	2.081765	0.201903	0.071917
325	0.282174	0.685297	2.222549	2.084539	0.223269	0.064332
330	0.303950	0.676164	2.226897	2.104478	0.222018	0.044042
332	0.286563	0.660207	2.239556	2.105481	0.231775	0.032478
333	0.285967	0.637152	2.254692	2.106686	0.211841	0.021371
340	0.261172	0.624175	2.248465	2.112020	0.222147	0.033069
344	0.279520	0.617933	2.250409	2.117297	0.231073	0.036531
351	0.267468	0.593119	2.274878	2.092342	0.242704	0.031729
354	0.282689	0.570558	2.277735	2.088483	0.227642	0.030662
357	0.286721	0.587013	2.278232	2.088859	0.212918	0.046214
359	0.268301	0.596073	2.299868	2.082998	0.190313	0.068611
360	0.280824	0.614751	2.323573	2.107071	0.203240	0.057078
364	0.296961	0.607570	2.347986	2.083464	0.184958	0.038040
365	0.284037	0.607377	2.357680	2.088941	0.174119	0.060759
367	0.290272	0.612101	2.375254	2.096341	0.161325	0.049100
368	0.295422	0.621179	2.373635	2.106236	0.146241	0.042537
372	0.316927	0.617399	2.381223	2.114683	0.151422	0.042597
373	0.326617	0.604335	2.396623	2.105036	0.145403	0.042909
375	0.315068	0.610862	2.417898	2.127515	0.152565	0.022712
376	0.312829	0.589162	2.421318	2.141404	0.166123	0.033460
380	0.291849	0.564399	2.417946	2.152063	0.182249	0.049632
384	0.301477	0.562426	2.435562	2.150719	0.167125	0.061603
386	0.296216	0.555629	2.440853	2.175634	0.183288	0.048350
388	0.296380	0.574293	2.447818	2.169902	0.182273	0.049531
390	0.294986	0.560020	2.470819	2.170761	0.160164	0.055951
391	0.286493	0.538035	2.494392	2.166107	0.185138	0.076396
393	0.265834	0.544177	2.510362	2.166419	0.208803	0.091227
395	0.252564	0.523035	2.514173	2.184776	0.196151	0.086113
399	0.275629	0.546955	2.520061	2.181012	0.219932	0.067685
400	0.252737	0.551199	2.543989	2.183506	0.242619	0.086565
401	0.229786	0.545852	2.559914	2.183486	0.255424	0.077989
404	0.220406	0.523049	2.548875	2.179206	0.252707	0.062302
406	0.223126	0.520714	2.558618	2.183423	0.259550	0.058867
407	0.244442	0.495884	2.576229	2.161143	0.267071	0.038532
414	0.239101	0.500223	2.590925	2.154423	0.252205	0.028541
415	0.215455	0.510416	2.591813	2.152401	0.230647	0.051436
416	0.209028	0.529626	2.611715	2.142766	0.254857	0.064072
417	0.209086	0.525858	2.611001	2.146414	0.267335	0.062919
419	0.226607	0.533724	2.630416	2.134702	0.275342	0.045251
420	0.203516	0.523162	2.627708	2.144767	0.284883	0.027242
421	0.211415	0.509162	2.632914	2.162829	0.300315	0.043759
422	0.225199	0.533262	2.640965	2.176156	0.281606	0.042655
428	0.201052	0.557118	2.657108	2.189397	0.285581	0.021421
434	0.216970	0.545095	2.650703	2.199075	0.274794	0.025664
436	0.224950	0.541838	2.668216	2.214671	0.278074	0.042635
438	0.230968	0.541909	2.676372	2.220640	0.273293	0.056460
441	0.250129	0.543884	2.692062	2.232035	0.290147	0.061952
443	0.250500	0.567050	2.680801	2.251696	0.271255	0.057650
444	0.230301	0.542451	2.691395	2.232097	0.269084	0.062376
445	0.253072	0.555505	2.707025	2.242901	0.261897	0.059414
447	0.228452	0.575982	2.723545	2.240107	0.265055	0.052612
449	0.224103	0.579353	2.741832	2.232583	0.260311	0.028119
452	0.232490	0.598416	2.762669	2.210219	0.236374	0.045473
455	0.228103	0.580828	2.782287	2.223870	0.211899	0.060792
462	0.208294	0.592133	2.799004	2.211512	0.219108	0.057530
464	0.184371	0.593514	2.817994	2.234620	0.198746	0.050734
466	0.183280	0.606542	2.839162	2.231733	0.177156	0.044837
467	0.160403	0.582340	2.861070	2.248128	0.152522	0.035449
469	0.160368	0.588812	2.884499	2.238700	0.139994	0.056242
473	0.184227	0.591766	2.868063	2.257681	0.121696	0.056406
474	0.164442	0.571981	2.859180	2.270181	0.100169	0.041717
476	0.171237	0.569399	2.879430	2.287308	0.086777	0.027478
480	0.157362	0.583313	2.885314	2.275071	0.106868	0.031895
483	0.160501	0.606670	2.892526	2.292090	0.122368	0.028053
485	0.181553	0.584419	2.899734	2.293898	0.144731	0.038998
486	0.183136	0.604474	2.904323	2.318436	0.147082	0.049026
489	0.207208	0.606041	2.922525	2.315484	0.156256	0.034023
495	0.212137	0.609250	2.946731	2.295148	0.155688	0.050812
496	0.191876	0.613486	2.951096	2.290960	0.164844	0.039230
499	0.174960	0.634775	2.948408	2.314332	0.160396	0.031650
502	0.154763	0.613500	2.964504	2.290063	0.139236	0.040671
513	0.166199	0.637900	2.979246	2.314478	0.157469	0.039857
515	0.187604	0.656784	2.977037	2.317918	0.138876	0.053691
516	0.211568	0.632705	2.990028	2.325864	0.147362	0.055225
517	0.201490	0.638694	2.999678	2.313463	0.163854	0.035030
524	0.179697	0.650445	3.013653	2.321572	0.152381	0.038678
526	0.186778	0.637269	3.006104	2.329695	0.138490	0.052514
527	0.181265	0.621212	3.030649	2.346938	0.142993	0.054976
528	0.164526	0.620789	3.047635	2.353827	0.119451	0.065727
534	0.162271	0.612310	3.063938	2.356125	0.099849	0.073055
535	0.144832	0.593562	3.086980	2.367100	0.094999	0.071908
536	0.133564	0.615745	3.088302	2.382311	0.118701	0.054637
539	0.136444	0.602017	3.086214	2.374687	0.105139	0.047807
540	0.133528	0.586839	3.096065	2.368105	0.098798	0.054042
